nome,cpf,endereco,plano
Sr. Gustavo Henrique Aparecida,64518273044,"Conjunto Breno Rios, 8, João Pinheiro, São Paulo, SP, Brasil",Básico
Sra. Lívia da Cunha,70592163407,"Parque Nathan Almeida, 99, João Alfredo, São Paulo, SP, Brasil",Bronze
Alícia Nogueira,15039784600,"Via Fonseca, 29, Vila Santo Antônio Barroquinha, São Paulo, SP, Brasil",Diamante
Pedro Dias,40132678969,"Esplanada Abreu, 19, Buraco Quente, São Paulo, SP, Brasil",Prata
Sr. Henry Gabriel Câmara,74892653128,"Rodovia de Vasconcelos, 4, Cenaculo, São Paulo, SP, Brasil",Ouro
Srta. Isabel Brito,21046738950,"Aeroporto Sabrina Pires, 48, Castanheira, São Paulo, SP, Brasil",Prata
Letícia Novaes,46039518251,"Viaduto de das Neves, 6, Suzana, São Paulo, SP, Brasil",Diamante
Sra. Sophie da Mata,79142506867,"Aeroporto Henrique Silva, 29, Saudade, São Paulo, SP, Brasil",Prata
André Almeida,04798632538,"Rodovia Ana Julia Viana, 73, Vale Do Jatoba, São Paulo, SP, Brasil",Bronze
Pietra das Neves,50482613998,"Morro Agatha Pinto, 92, Penha, São Paulo, SP, Brasil",Bronze
Joana Melo,19240768378,"Parque Rios, 52, São Bento, São Paulo, SP, Brasil",Bronze
Ana Clara Nogueira,84529601315,"Vale Luiz Felipe Fogaça, 844, Aarão Reis, São Paulo, SP, Brasil",Básico
Eduarda da Cruz,53169087240,"Trevo de Andrade, 10, Pindorama, São Paulo, SP, Brasil",Básico
Heitor Sampaio,27156308408,"Avenida Albuquerque, 96, Vila Ecológica, São Paulo, SP, Brasil",Ouro
Larissa Azevedo,57926108359,"Rua Arthur Miguel Rocha, 15, São Francisco Das Chagas, São Paulo, SP, Brasil",Prata
Danilo Novais,30517692406,"Estação Maitê da Luz, 60, Vila Independencia 2ª Seção, São Paulo, SP, Brasil",Básico
Luigi Pires,43607512817,"Esplanada de Almeida, 9, João Pinheiro, São Paulo, SP, Brasil",Ouro
Eduardo Barros,29836071512,"Alameda de da Costa, 605, Mangueiras, São Paulo, SP, Brasil",Prata
Léo Fonseca,16324890589,"Conjunto de Montenegro, 6, Tirol, São Paulo, SP, Brasil",Prata
Aylla Pimenta,25439617809,"Colônia Anna Liz Cassiano, 62, Parque São Pedro, São Paulo, SP, Brasil",Prata
Marcelo Vieira,54961370207,"Quadra de Peixoto, 49, Vila Santo Antônio Barroquinha, São Paulo, SP, Brasil",Prata
Luiz Otávio Carvalho,07649531848,"Aeroporto Raul Guerra, 777, Nossa Senhora Da Conceição, São Paulo, SP, Brasil",Prata
Ana Liz das Neves,29504736106,"Conjunto da Cunha, 8, Vila Suzana Primeira Seção, São Paulo, SP, Brasil",Prata
Dr. Luiz Fernando Moraes,34095127805,"Lago Pinto, 13, Estrela, São Paulo, SP, Brasil",Básico
Maria Julia Carvalho,48361795219,"Conjunto de Alves, 666, João Paulo Ii, São Paulo, SP, Brasil",Diamante
João Vitor Monteiro,46387195209,"Pátio Costa, 246, João Paulo Ii, São Paulo, SP, Brasil",Diamante
Enrico Cassiano,34217680562,"Jardim Oliveira, 34, Beira Linha, São Paulo, SP, Brasil",Ouro
Marcelo Caldeira,64578920356,"Loteamento Siqueira, 89, Vila Trinta E Um De Março, São Paulo, SP, Brasil",Ouro
Sr. Dante Lima,61497280567,"Parque Fonseca, 6, Xangri-Lá, São Paulo, SP, Brasil",Prata
Dr. Vitor Hugo Silva,19382470514,"Área Porto, 73, Solimoes, São Paulo, SP, Brasil",Diamante
Dra. Bruna Jesus,35108726902,"Parque Lopes, 13, São Francisco, São Paulo, SP, Brasil",Básico
Otto Silva,38164257044,"Trecho Otávio Nunes, 2, Heliopolis, São Paulo, SP, Brasil",Prata
Beatriz Viana,01529467306,"Travessa Davi Lucca Brito, 37, Cidade Jardim, São Paulo, SP, Brasil",Bronze
Sr. Davi Lucca da Costa,20836415744,"Vale Brito, 52, Calafate, São Paulo, SP, Brasil",Prata
Milena Costa,74913682555,"Praça Vinicius Gomes, 92, Santa Cecilia, São Paulo, SP, Brasil",Diamante
Isaac Pereira,54023197823,"Largo de Alves, 70, Coração De Jesus, São Paulo, SP, Brasil",Prata
Srta. Alícia Souza,09642357810,"Parque de Caldeira, 14, Virgínia, São Paulo, SP, Brasil",Bronze
Sr. Bento Ferreira,10964583739,"Colônia Henrique Cirino, 3, São Vicente, São Paulo, SP, Brasil",Ouro
Igor Mendes,94610835215,"Passarela Sales, 41, Eymard, São Paulo, SP, Brasil",Bronze
Eduardo Lopes,76491802558,"Vila Monteiro, 520, Mirante, São Paulo, SP, Brasil",Ouro
Pietra Rios,76589410348,"Rodovia de da Costa, 44, Santa Efigênia, São Paulo, SP, Brasil",Básico
Maya da Mata,46572109801,"Colônia da Cruz, 38, Lagoa, São Paulo, SP, Brasil",Prata
Otto Vieira,73492805132,"Viela Gael Cavalcante, 9, Xodo-Marize, São Paulo, SP, Brasil",Básico
João Albuquerque,69304185289,"Praça Gabrielly Aparecida, 17, Cidade Jardim, São Paulo, SP, Brasil",Básico
Arthur Miguel Cassiano,98315270621,"Feira Dom da Mata, 49, Goiania, São Paulo, SP, Brasil",Diamante
Anthony Gabriel Silva,07425891611,"Via de Cavalcante, 3, Vila Da Paz, São Paulo, SP, Brasil",Básico
Vicente Guerra,51907384260,"Praça Machado, 42, Vila Calafate, São Paulo, SP, Brasil",Diamante
Vitor Hugo Moreira,18356479282,"Trevo Araújo, 24, Lourdes, São Paulo, SP, Brasil",Bronze
Dra. Ester Caldeira,70926318586,"Praça Souza, 94, Tiradentes, São Paulo, SP, Brasil",Diamante
Benjamim da Conceição,05438721653,"Conjunto Davi Luiz Ramos, 28, Novo Ouro Preto, São Paulo, SP, Brasil",Bronze
Srta. Daniela Cavalcante,56342981051,"Campo de Ribeiro, 71, Pindorama, São Paulo, SP, Brasil",Bronze
Carlos Eduardo Silveira,72651309877,"Lago João Miguel Barros, 678, Savassi, São Paulo, SP, Brasil",Diamante
Esther Novais,03756489256,"Estrada de da Paz, 134, Santo André, São Paulo, SP, Brasil",Ouro
Dr. Matheus Cardoso,03461829722,"Praça Ísis Sales, 3, Vila Independencia 3ª Seção, São Paulo, SP, Brasil",Básico
Luiz Otávio Leão,34682715062,"Favela Bryan Gonçalves, 64, Delta, São Paulo, SP, Brasil",Básico
Isabela Nunes,90761528377,"Fazenda Caio Barros, 76, Novo Aarão Reis, São Paulo, SP, Brasil",Bronze
Ana Casa Grande,94850713297,"Condomínio Cecília Borges, 45, Vila Antena Montanhês, São Paulo, SP, Brasil",Ouro
Ana Clara Vieira,15769243007,"Campo Rios, 863, Dom Joaquim, São Paulo, SP, Brasil",Bronze
Maria Luiza Moreira,72804361969,"Estação de Barros, 895, Vila Atila De Paiva, São Paulo, SP, Brasil",Prata
Samuel Rocha,60279453116,"Aeroporto de Rezende, 81, Jardim Felicidade, São Paulo, SP, Brasil",Ouro
Sra. Maria Clara Mendes,91483526089,"Recanto de Fonseca, 5, Vila Da Amizade, São Paulo, SP, Brasil",Ouro
Giovanna Pastor,28450169720,"Recanto de da Mota, 70, Maria Goretti, São Paulo, SP, Brasil",Bronze
Pedro Henrique Aragão,09375841260,"Favela de Camargo, 30, Pousada Santo Antonio, São Paulo, SP, Brasil",Básico
Ana Julia Azevedo,04231587914,"Viaduto de Almeida, 8, Santa Cecilia, São Paulo, SP, Brasil",Prata
Sr. Brayan Araújo,90851327621,"Colônia Kaique Barros, 95, Gutierrez, São Paulo, SP, Brasil",Ouro
Gabriela Nascimento,93471568093,"Lago Leão, 58, São Gonçalo, São Paulo, SP, Brasil",Bronze
Daniel Freitas,61290357803,"Travessa de Siqueira, 13, Barão Homem De Melo 3ª Seção, São Paulo, SP, Brasil",Ouro
Antônio da Conceição,51826304762,"Jardim da Mata, 391, São Marcos, São Paulo, SP, Brasil",Prata
Léo Fonseca,45073291670,"Residencial Farias, 23, Novo Das Industrias, São Paulo, SP, Brasil",Bronze
Sr. Enrico Cavalcanti,93125480779,"Quadra Pastor, 937, Calafate, São Paulo, SP, Brasil",Prata
Fernanda Ferreira,95876401366,"Parque Lavínia Freitas, 62, João Pinheiro, São Paulo, SP, Brasil",Básico
Maria Julia Santos,84361079269,"Avenida Fernandes, 21, Vila Sumaré, São Paulo, SP, Brasil",Ouro
Ana Clara Fonseca,29536841746,"Esplanada Marcela Rocha, 37, Nova America, São Paulo, SP, Brasil",Prata
Maria Dias,10257698302,"Vale Calebe Brito, 48, Alta Tensão 1ª Seção, São Paulo, SP, Brasil",Diamante
Olívia Azevedo,31985467291,"Lagoa Sales, 60, Vila Antena Montanhês, São Paulo, SP, Brasil",Prata
Luiz Felipe Cavalcante,61945837209,"Núcleo Almeida, 8, Santa Amelia, São Paulo, SP, Brasil",Diamante
Srta. Isadora Moura,01693852489,"Parque de Abreu, 409, Coração Eucarístico, São Paulo, SP, Brasil",Prata
Felipe Martins,27304681969,"Via Maria Fernandes, 298, Vila Santa Rosa, São Paulo, SP, Brasil",Básico
Asafe Machado,79431082560,"Residencial Ravy Pereira, 408, Solar Do Barreiro, São Paulo, SP, Brasil",Prata
Sr. Eduardo Viana,48239071597,"Vale Freitas, 72, Vitoria Da Conquista, São Paulo, SP, Brasil",Básico
Rebeca Caldeira,46582371991,"Favela Marques, 23, Lagoinha, São Paulo, SP, Brasil",Básico
Marcos Vinicius Leão,36958720474,"Vereda da Rosa, 4, Jardim Vitoria, São Paulo, SP, Brasil",Básico
Gustavo Castro,36521790803,"Via Davi Lucca Abreu, 57, Distrito Industrial Do Jatoba, São Paulo, SP, Brasil",Bronze
Ísis Carvalho,54217396864,"Pátio Luiz Gustavo Peixoto, 53, Vila Santo Antônio Barroquinha, São Paulo, SP, Brasil",Prata
Maya Mendonça,05728961312,"Vereda de Macedo, 2, Palmeiras, São Paulo, SP, Brasil",Prata
Dra. Larissa Rezende,46578301208,"Pátio de Nogueira, 7, São José, São Paulo, SP, Brasil",Diamante
Sr. Luiz Gustavo Vasconcelos,07615923425,"Setor de Cunha, 9, Nossa Senhora De Fátima, São Paulo, SP, Brasil",Bronze
Yan Aragão,45803162906,"Recanto Yago Pimenta, 334, Goiania, São Paulo, SP, Brasil",Ouro
Samuel Sousa,39462150842,"Estrada Noah Pimenta, 336, Santa Amelia, São Paulo, SP, Brasil",Prata
Sra. Anna Liz Souza,14306259889,"Residencial Fernanda da Mota, 68, São Gonçalo, São Paulo, SP, Brasil",Ouro
Bianca Pires,56904132752,"Morro de da Mata, 222, Conjunto Califórnia I, São Paulo, SP, Brasil",Diamante
José Miguel Aparecida,38579426065,"Rodovia de Santos, 470, São Marcos, São Paulo, SP, Brasil",Diamante
Alícia Jesus,68309274122,"Favela de Monteiro, 52, São Damião, São Paulo, SP, Brasil",Ouro
Olivia Viana,51026389470,"Campo Machado, 57, Vila Canto Do Sabiá, São Paulo, SP, Brasil",Diamante
Clarice Castro,91345870205,"Morro de Sá, 66, Eymard, São Paulo, SP, Brasil",Bronze
Noah Vieira,78146539084,"Setor Maria Luiza Campos, 641, Araguaia, São Paulo, SP, Brasil",Bronze
Emilly Vieira,42563179025,"Loteamento Maitê Costela, 66, Novo Tupi, São Paulo, SP, Brasil",Bronze
Pietra Correia,27061834978,"Esplanada Moreira, 21, Jardim América, São Paulo, SP, Brasil",Diamante
Esther Moura,02619384524,"Quadra de Araújo, 2, Distrito Industrial Do Jatoba, São Paulo, SP, Brasil",Diamante
Bella Caldeira,81907234640,"Viaduto Ana Beatriz Oliveira, 693, Itatiaia, São Paulo, SP, Brasil",Diamante
Thales Cavalcante,53819476237,"Trecho Cirino, 204, Novo Ouro Preto, São Paulo, SP, Brasil",Bronze
Paulo Andrade,23405169780,"Praça Maria Júlia Costela, 61, Santa Cruz, São Paulo, SP, Brasil",Prata
Luísa Pimenta,09146358757,"Aeroporto de da Cunha, 40, Vila De Sá, São Paulo, SP, Brasil",Diamante
Dr. Arthur Gabriel Gonçalves,53812047950,"Morro Peixoto, 9, Monte Azul, São Paulo, SP, Brasil",Prata
Guilherme Cirino,79814062502,"Trecho Léo Barbosa, 56, Dom Silverio, São Paulo, SP, Brasil",Prata
Cauê Rodrigues,39420516806,"Conjunto Enzo Camargo, 99, Graça, São Paulo, SP, Brasil",Ouro
Davi Lucca Machado,37802916496,"Travessa de Pimenta, 39, Vila Maloca, São Paulo, SP, Brasil",Básico
Maria Eduarda Silveira,89365120489,"Avenida de Vasconcelos, 89, Araguaia, São Paulo, SP, Brasil",Prata
Luna Costa,52083791479,"Viaduto Almeida, 41, Parque São José, São Paulo, SP, Brasil",Ouro
Kevin da Rocha,05489671300,"Chácara Araújo, 24, Alto Barroca, São Paulo, SP, Brasil",Prata
Bruno Câmara,90524738114,"Passarela de da Rocha, 603, Marçola, São Paulo, SP, Brasil",Bronze
Sr. Otto Correia,60824513762,"Aeroporto de Silveira, 44, Alta Tensão 2ª Seção, São Paulo, SP, Brasil",Básico
Felipe Souza,72364859182,"Vila de Vargas, 9, Primeiro De Maio, São Paulo, SP, Brasil",Diamante
João Felipe da Luz,05467218344,"Rua Ana da Mota, 27, Vila Mantiqueira, São Paulo, SP, Brasil",Ouro
Oliver Costa,23469785155,"Vale de Vasconcelos, 93, Paraíso, São Paulo, SP, Brasil",Diamante
Sr. Henrique Pimenta,74160582362,"Praça de Rezende, 28, Braúnas, São Paulo, SP, Brasil",Diamante
Laís Silveira,79024531616,"Viaduto Nogueira, 80, Solar Do Barreiro, São Paulo, SP, Brasil",Ouro
Josué Pastor,30489251633,"Parque de Marques, 36, Flamengo, São Paulo, SP, Brasil",Prata
Marcelo Martins,71524860344,"Lago de da Luz, 81, Canaa, São Paulo, SP, Brasil",Básico
Raquel Souza,52470916399,"Estação de Freitas, 53, Delta, São Paulo, SP, Brasil",Prata
Sophie Teixeira,06423897565,"Trecho Cardoso, 18, São Jorge 3ª Seção, São Paulo, SP, Brasil",Bronze
Srta. Laura Ribeiro,29705384665,"Viela de Fogaça, 4, Floresta, São Paulo, SP, Brasil",Básico
Eduardo Cassiano,48723615044,"Quadra Mendes, 48, Vila Santo Antônio, São Paulo, SP, Brasil",Ouro
Maria Julia da Mota,35498167237,"Favela Cauã da Cunha, 880, Teixeira Dias, São Paulo, SP, Brasil",Ouro
Noah Pinto,92074816502,"Loteamento Augusto Santos, 26, Minaslandia, São Paulo, SP, Brasil",Básico
Luísa Sá,39264851755,"Distrito de Nunes, 5, Pedreira Padro Lopes, São Paulo, SP, Brasil",Prata
Bruna Carvalho,48359276137,"Núcleo Monteiro, 2, Cônego Pinheiro 2ª Seção, São Paulo, SP, Brasil",Prata
José Miguel da Mota,23976410543,"Viaduto de Correia, 375, Morro Dos Macacos, São Paulo, SP, Brasil",Ouro
Sabrina Costela,78652109494,"Vale Yago Dias, 2, Vila São Dimas, São Paulo, SP, Brasil",Ouro
Henry Gabriel Monteiro,82031467913,"Estação Costa, 605, Vila São João Batista, São Paulo, SP, Brasil",Básico
Luana Viana,59802367168,"Vereda de Dias, 256, Vila Primeiro De Maio, São Paulo, SP, Brasil",Prata
Antony Cassiano,85306492142,"Parque Amanda Duarte, 40, Independência, São Paulo, SP, Brasil",Diamante
Sra. Maria Sophia Viana,50186274920,"Trecho Vinícius Peixoto, 68, Luxemburgo, São Paulo, SP, Brasil",Ouro
Hadassa Costela,27685104911,"Viela Bella da Rocha, 45, Vila Boa Vista, São Paulo, SP, Brasil",Bronze
Otávio Casa Grande,51284639070,"Praia Valentina Casa Grande, 461, Esplanada, São Paulo, SP, Brasil",Prata
Maria Vitória Novaes,58306274938,"Fazenda Ramos, 969, Santa Efigênia, São Paulo, SP, Brasil",Ouro
Diogo Rios,03149758297,"Feira Cassiano, 75, São Geraldo, São Paulo, SP, Brasil",Ouro
Anna Liz Freitas,91573024643,"Lago da Rosa, 3, Campo Alegre, São Paulo, SP, Brasil",Diamante
Dr. João Miguel Cavalcante,76358109448,"Residencial Pastor, 978, Castelo, São Paulo, SP, Brasil",Ouro
Alexandre Silva,10796283559,"Jardim Farias, 71, Vila Madre Gertrudes 4ª Seção, São Paulo, SP, Brasil",Prata
João Miguel Novaes,46537208190,"Conjunto de Campos, 4, Granja De Freitas, São Paulo, SP, Brasil",Básico
Dante Pires,83942751682,"Travessa de Leão, 13, Vila Nossa Senhora Do Rosário, São Paulo, SP, Brasil",Bronze
Luiz Otávio Sousa,24308759188,"Conjunto da Rocha, 3, Beija Flor, São Paulo, SP, Brasil",Diamante
Sr. Davi Lucca Rezende,18905643701,"Lagoa de Alves, 41, Venda Nova, São Paulo, SP, Brasil",Bronze
Dra. Sophia Novais,03294871678,"Trevo de Gonçalves, 31, Capitão Eduardo, São Paulo, SP, Brasil",Bronze
Clara Melo,20891765395,"Fazenda Vitor Hugo Rocha, 886, Jardim Vitoria, São Paulo, SP, Brasil",Diamante
Hellena Peixoto,86139702496,"Via de Rezende, 930, Vila Inestan, São Paulo, SP, Brasil",Prata
Antônio Silva,65381270453,"Residencial de Lopes, 74, Ventosa, São Paulo, SP, Brasil",Ouro
Matheus Pacheco,29071683559,"Quadra de Lopes, 16, Maria Tereza, São Paulo, SP, Brasil",Diamante
Sarah Gomes,76489502356,"Esplanada Valentina Guerra, 22, Carlos Prates, São Paulo, SP, Brasil",Prata
Pedro Henrique da Rosa,60714298387,"Pátio Sousa, 66, Vila Nova Paraíso, São Paulo, SP, Brasil",Ouro
Maria Helena Costela,50874936101,"Vereda Pedro Lucas Fernandes, 65, Cônego Pinheiro 2ª Seção, São Paulo, SP, Brasil",Básico
Dr. Bryan da Cunha,54813790232,"Ladeira Machado, 34, Itapoa, São Paulo, SP, Brasil",Básico
Anthony da Costa,59183024760,"Fazenda Farias, 2, Havaí, São Paulo, SP, Brasil",Básico
Nina das Neves,65209134806,"Trecho de Santos, 38, Vila Minaslandia, São Paulo, SP, Brasil",Bronze
Maria Vitória da Cruz,54862190324,"Parque Isabelly Fernandes, 21, Coração Eucarístico, São Paulo, SP, Brasil",Ouro
Isabelly Cavalcante,73562014880,"Lago Ana Lívia Sampaio, 12, Tiradentes, São Paulo, SP, Brasil",Ouro
Enrico Alves,79135604875,"Praça de Câmara, 82, Parque São José, São Paulo, SP, Brasil",Básico
Luiz Gustavo Sampaio,68439527128,"Condomínio Caldeira, 4, Vila Madre Gertrudes 1ª Seção, São Paulo, SP, Brasil",Ouro
Maysa Azevedo,97041532607,"Vila Farias, 83, Monte Azul, São Paulo, SP, Brasil",Prata
Calebe Fonseca,27158904350,"Lagoa Yan Cavalcanti, 836, Vila Nova Cachoeirinha 2ª Seção, São Paulo, SP, Brasil",Bronze
Alícia da Mata,61427538964,"Praia Sampaio, 84, Alto Caiçaras, São Paulo, SP, Brasil",Ouro
Antony Camargo,05612943725,"Lagoa João Lucas Lima, 55, Nova Gameleira, São Paulo, SP, Brasil",Prata
Stella das Neves,97615834066,"Travessa Cirino, 54, Itapoa, São Paulo, SP, Brasil",Prata
Liam Camargo,03145297643,"Condomínio Luigi da Cunha, 63, Conjunto Serra Verde, São Paulo, SP, Brasil",Bronze
Benjamim Abreu,31097284603,"Vereda de Lima, 93, Coração De Jesus, São Paulo, SP, Brasil",Prata
Dra. Eloah Marques,63049582189,"Pátio Pimenta, 381, Taquaril, São Paulo, SP, Brasil",Ouro
Levi Pinto,26574381053,"Pátio Lara Montenegro, 27, Aguas Claras, São Paulo, SP, Brasil",Ouro
Olívia Moura,05862374965,"Campo Sampaio, 52, Vila Piratininga, São Paulo, SP, Brasil",Diamante
Caio Brito,93028674556,"Conjunto Rios, 71, Céu Azul, São Paulo, SP, Brasil",Ouro
Dra. Marcela Barbosa,39764012850,"Quadra Pereira, 33, Camponesa 2ª Seção, São Paulo, SP, Brasil",Básico
Ryan Montenegro,06378415900,"Aeroporto de Montenegro, 68, Ambrosina, São Paulo, SP, Brasil",Bronze
Caio Moura,13287904604,"Distrito de Silva, 77, Jardim São José, São Paulo, SP, Brasil",Prata
Sr. João Guilherme da Rosa,65391872030,"Lago Noah Cavalcante, 6, Vila Esplanada, São Paulo, SP, Brasil",Prata
Sr. João Vitor Correia,72051463808,"Fazenda Sarah Cardoso, 97, Vila Antena, São Paulo, SP, Brasil",Básico
Antônio Peixoto,06291438542,"Passarela Moura, 814, Baleia, São Paulo, SP, Brasil",Prata
Dr. Benjamim Mendonça,29538046765,"Pátio Vargas, 23, Madri, São Paulo, SP, Brasil",Diamante
Lucas Gabriel Mendes,86317059420,"Estrada Alexandre Costa, 94, Conjunto Lagoa, São Paulo, SP, Brasil",Bronze
Ryan Sá,96810543775,"Colônia de Barbosa, 66, Ipe, São Paulo, SP, Brasil",Prata
Theodoro Pacheco,78590246167,"Viaduto Andrade, 15, Pongelupe, São Paulo, SP, Brasil",Básico
Marcela Cirino,32867940583,"Estação Josué Ribeiro, 22, Indaiá, São Paulo, SP, Brasil",Prata
Olivia Ferreira,02385197405,"Travessa Andrade, 64, Fernão Dias, São Paulo, SP, Brasil",Bronze
Bianca Pires,64532971080,"Lagoa de Ribeiro, 13, Atila De Paiva, São Paulo, SP, Brasil",Prata
Luiz Henrique Castro,97431052634,"Passarela da Rosa, 640, Campo Alegre, São Paulo, SP, Brasil",Bronze
Maria Clara Rodrigues,58974163039,"Esplanada de Dias, 539, Mantiqueira, São Paulo, SP, Brasil",Prata
Matteo Ferreira,86527341008,"Setor de Sampaio, 5, Bandeirantes, São Paulo, SP, Brasil",Ouro
Luigi Marques,28740915611,"Largo Ísis Almeida, 18, Conjunto Califórnia I, São Paulo, SP, Brasil",Prata
Dr. Cauã Peixoto,36920587130,"Alameda Natália Vargas, 709, Gameleira, São Paulo, SP, Brasil",Ouro
Rafaela da Rocha,26018374544,"Loteamento Vieira, 26, Camponesa 2ª Seção, São Paulo, SP, Brasil",Diamante
Cauã Cavalcanti,39560412833,"Estrada de Montenegro, 24, Engenho Nogueira, São Paulo, SP, Brasil",Básico
Pietra da Costa,15042967370,"Vale de Porto, 459, Nossa Senhora Da Aparecida, São Paulo, SP, Brasil",Bronze
Srta. Maria Clara Teixeira,89230164704,"Trevo de Leão, 12, Cruzeiro, São Paulo, SP, Brasil",Diamante
Rebeca da Luz,01962438589,"Estrada Ribeiro, 6, Monsenhor Messias, São Paulo, SP, Brasil",Ouro
Luiz Felipe Moura,95271064867,"Passarela Gustavo Henrique Dias, 926, Jaraguá, São Paulo, SP, Brasil",Ouro
Luiz Henrique Castro,90173824650,"Esplanada Liz Pires, 98, São Salvador, São Paulo, SP, Brasil",Prata
Ester Mendonça,27845903647,"Largo Garcia, 96, Nossa Senhora Da Conceição, São Paulo, SP, Brasil",Prata
Liam Casa Grande,24981307560,"Vale de Câmara, 696, Cinquentenário, São Paulo, SP, Brasil",Básico
Stephany Vieira,97136248582,"Quadra Heitor Cardoso, 87, Conjunto Santa Maria, São Paulo, SP, Brasil",Básico
Erick Santos,15264897328,"Fazenda Novais, 37, Itaipu, São Paulo, SP, Brasil",Prata
Vinícius da Mata,48160327544,"Jardim de Mendes, 9, Vila De Sá, São Paulo, SP, Brasil",Básico
Rafaela Pacheco,85734206938,"Estrada Cunha, 95, Gutierrez, São Paulo, SP, Brasil",Ouro
Yago Guerra,39102678586,"Avenida João Vitor Rios, 29, Jatobá, São Paulo, SP, Brasil",Prata
Matheus Rios,67825410335,"Vale Luigi Oliveira, 66, Vila Trinta E Um De Março, São Paulo, SP, Brasil",Prata
Dr. Diego Macedo,14690835748,"Viaduto Albuquerque, 19, Barroca, São Paulo, SP, Brasil",Ouro
Isaque Moraes,59860427356,"Campo Novaes, 51, Cônego Pinheiro 1ª Seção, São Paulo, SP, Brasil",Ouro
Sr. André Lopes,85693742083,"Aeroporto de Macedo, 61, Boa Esperança, São Paulo, SP, Brasil",Ouro
Lívia Moura,69148073296,"Área Danilo Sousa, 325, Vila Suzana Segunda Seção, São Paulo, SP, Brasil",Ouro
Lavínia Pimenta,75480213644,"Quadra de Viana, 64, Delta, São Paulo, SP, Brasil",Prata
Marcelo da Cruz,98173260559,"Núcleo de Pimenta, 72, Jardim Leblon, São Paulo, SP, Brasil",Bronze
João Felipe Ferreira,95647832083,"Favela Brayan Sales, 67, Santa Sofia, São Paulo, SP, Brasil",Diamante
Josué Mendonça,73196240878,"Viela de Oliveira, 762, Piraja, São Paulo, SP, Brasil",Bronze
José Miguel Martins,54683701235,"Lagoa de da Cruz, 7, Jardim Guanabara, São Paulo, SP, Brasil",Básico
Melissa Oliveira,97652813409,"Quadra de Casa Grande, 234, Pilar, São Paulo, SP, Brasil",Bronze
José Camargo,25740619343,"Estrada de da Mata, 6, Aarão Reis, São Paulo, SP, Brasil",Básico
Luiza Farias,13948052760,"Conjunto Novais, 6, Vista Alegre, São Paulo, SP, Brasil",Básico
Giovanna Sales,38675192002,"Jardim Enzo Gabriel Abreu, 54, Vila São Paulo, São Paulo, SP, Brasil",Bronze
Sr. Otto Teixeira,09348157639,"Vila Ana Vitória Caldeira, 4, Lagoa, São Paulo, SP, Brasil",Bronze
Felipe Cavalcanti,83746501920,"Loteamento de da Mata, 267, Serrano, São Paulo, SP, Brasil",Ouro
Nicolas Barros,54067219849,"Rua Bernardo Sá, 48, Suzana, São Paulo, SP, Brasil",Diamante
Liam Borges,10923547606,"Vereda Caleb Vargas, 27, São Marcos, São Paulo, SP, Brasil",Prata
Sr. Noah Fernandes,07641235999,"Trecho Apollo Rocha, 238, Goiania, São Paulo, SP, Brasil",Básico
Felipe Leão,73495608184,"Avenida de Almeida, 80, Chácara Leonina, São Paulo, SP, Brasil",Bronze
Pedro Henrique Casa Grande,03245916752,"Aeroporto de Costa, 88, Vila Madre Gertrudes 4ª Seção, São Paulo, SP, Brasil",Ouro
Alexia Silva,78620314580,"Estrada Martins, 6, Vila Sesc, São Paulo, SP, Brasil",Prata
Bárbara Rodrigues,62945731061,"Sítio Vitor Rezende, 216, Marçola, São Paulo, SP, Brasil",Ouro
Alexia Vasconcelos,87453962137,"Recanto Mirella Montenegro, 60, Fazendinha, São Paulo, SP, Brasil",Diamante
Leandro da Cunha,69421057325,"Sítio Novaes, 17, Vila Aeroporto, São Paulo, SP, Brasil",Prata
Olivia Aparecida,01349685739,"Viaduto de Rezende, 42, Guarani, São Paulo, SP, Brasil",Básico
Natália da Rocha,42917360887,"Conjunto de da Mota, 553, Serra, São Paulo, SP, Brasil",Básico
Antony Moura,91724805649,"Praia Evelyn Lima, 94, Jardim Dos Comerciarios, São Paulo, SP, Brasil",Prata
Maitê Oliveira,40825731607,"Núcleo Leonardo Castro, 7, Tupi B, São Paulo, SP, Brasil",Bronze
Cauê Teixeira,23498760122,"Rua Casa Grande, 69, Horto, São Paulo, SP, Brasil",Ouro
Sr. Rodrigo Camargo,74396058101,"Quadra Costela, 30, Paquetá, São Paulo, SP, Brasil",Básico
Natália Rocha,68019537295,"Setor Alves, 9, Leonina, São Paulo, SP, Brasil",Ouro
Ana Luiza Fonseca,03749612803,"Alameda Pedro Miguel Mendonça, 63, Vila Batik, São Paulo, SP, Brasil",Prata
Bento Ramos,75609483247,"Residencial Rocha, 488, Beija Flor, São Paulo, SP, Brasil",Diamante
Pedro Miguel Albuquerque,20931687586,"Setor de Lopes, 479, Goiania, São Paulo, SP, Brasil",Básico
João Felipe Siqueira,67951243809,"Favela Câmara, 17, Brasil Industrial, São Paulo, SP, Brasil",Ouro
Luna Azevedo,70539681202,"Estação Peixoto, 944, Brasil Industrial, São Paulo, SP, Brasil",Diamante
Nicolas Garcia,81574269364,"Pátio Julia Santos, 24, São Luiz, São Paulo, SP, Brasil",Ouro
Vitor Hugo Moura,86021397568,"Aeroporto de Alves, 4, Marieta 3ª Seção, São Paulo, SP, Brasil",Prata
